id;type;name;description;critical_alert_producer_address;critical_alert_producer_port;critical_alert_producer_uri;critical_alert_producer_stream_id;client_id
1;DOUBLE;ick weird aha;er;until after;31498;syndicate ideal;27157;1
2;INT;atrium;outlaw putrid greenhouse;grimy but;16809;immunise;15996;2
3;DOUBLE;through;boo drat movie;demanding;16027;anti quiz intensely;4019;3
4;DOUBLE;queasily frank than;stranger;because fat;29244;outclass rhubarb fully;2917;4
5;INT;weakly;loyally morphology anenst;briefly;6500;optimistically;20372;5
6;DOUBLE;rowdy unselfish;great under truly;unleash;11309;mycoplasma;16516;6
7;DOUBLE;ceramic eavesdropper interestingly;not genre instant;freely sparkling modulo;2556;clever ah ha;24763;7
8;INT;swirl;elementary how ick;to;787;hm;23745;8
9;DOUBLE;per;enthusiastically ack;after beautifully;26984;within but;21263;9
10;DOUBLE;excluding flustered upside-down;voluntarily trusting;woot;14277;macrame pedestrianise questionable;10136;10
