id;type;name;description;conf;client_id;metric_id
1;CRITICAL;geez;gadzooks indeed underneath;sad pfft;1;1
2;CRITICAL;save;mediocre mortally worth;alleviate knit needy;2;2
3;CRITICAL;photo;impressive;though inside;3;3
4;REGULAR;creative;whose gracefully woot;not nonsense limply;4;4
5;REGULAR;into athwart;unnatural than;indeed childhood;5;5
6;CRITICAL;broadly with;wonderfully but;following favorable furthermore;6;6
7;REGULAR;pace until;beneath;aw;7;7
8;CRITICAL;amidst pressurize;righteously delicious;heartwood position;8;8
9;CRITICAL;wherever meh;likewise forthright husband;joint phooey some;9;9
10;REGULAR;poultry;on;down scratch than;10;10
